Date,news,True_value,Predicted_Without,Predicted_With
2018-11-02,유방암 진단키트로 재발 가능성 예측 불필요한 항암치료 막을 것,2.948608875274658,1.7826572060585022,2.753862142562866
2018-11-05,SK케미칼·세아·아이센스 가치투자名家의 선택 주목,-0.6227302551269531,-0.158101387321949,-0.10922399908304214
2018-11-06,장외주식 공모예정 파멥신과 승인종목 현대오일뱅크의 상승세,0.5013567209243774,0.7605864703655243,0.5548321008682251
2018-11-07,장외주식 기업공개 IPO 종목인 셀리버리와 파멥신의 눈에 띄는 상승세,-0.24930168688297272,1.7335104644298553,-0.12619736790657043
2018-11-08,금융위원장 삼바 의혹 삼성물산 감리 주장 일리 있다 종합,-3.875098466873169,-1.1974763870239258,-3.7416629791259766
2018-11-09,김동연 경제위기 아닌 정치적 의사결정 의 위기 종합,-4.29131555557251,-2.392613649368286,-4.500053405761719
2018-11-12,개인 바이오 살때 외국인 반도체 샀다,-22.418359756469727,-17.960631847381592,-21.962682723999023
2018-11-13,폭풍전야 삼바 하루새 시총 5 4조 증발,9.807236671447754,3.4396204948425293,9.507158279418945
2018-11-14,매경이 전하는 세상의 지식 매 세 지 11월 13일,6.698490619659424,3.396834373474121,6.3645100593566895
2018-11-15,새책 하마터면 회계를 모르고 일할 뻔했다,0.0,3.323821246623993,0.47336047887802124
2018-11-16,한경로보뉴스 메타랩스 5 이상 상승 대형 증권사 매수 창구 상위에 등장 NH투자 미래에셋 등,0.0,2.406545400619507,-0.4159853458404541
2018-11-19,삼성그룹 시총 전자·바이오 동시 추락에 56조원 증발,0.0,-0.8201601505279541,0.41550326347351074
2018-11-20,국내외 불확실성 걷힌 증시 어디까지 오를까,0.0,2.811117112636566,1.9383912086486816
2018-11-21,삼바 회계기준 변경 미래전략실과 무관,0.0,-3.7000602185726166,-0.2202812135219574
2018-11-22,내년 7개 의약품 美 승인 예상 한미약품·동아에스티 최선호,0.0,1.051320105791092,-0.3209838569164276
2018-11-23,연수출 6천억불 쾌거 잇는다 내년 무역금융 150조원으로 확대 종합,0.0,1.9896157383918762,-0.17360776662826538
2018-11-26,연합뉴스 이 시각 헤드라인 10 00,0.0,-0.7882161438465118,-0.20203545689582825
2018-11-27,삼바 악재 넘긴 제약·바이오 향후 주목할 파이프라인은,0.0,-0.8926601409912109,0.4182770252227783
2018-11-28,경제학자들 삼바 사태 삼성 지배구조 흔들기 의심,0.0,3.3462115228176117,-0.19101420044898987
2018-11-29,최종구 신용카드 혜택 급격히 줄지 않도록 할 것,0.0,-2.481053054332733,0.43876439332962036
2018-11-30,장외주식 청약과 상장일정이 겹치며 부진한 흐름의 지속,0.0,-1.215862825512886,0.060787126421928406
2018-12-03,상장 전 감리제도 이중규제 논란 재검토해야,0.0,-0.658666729927063,-1.1713495254516602
2018-12-04,검찰 삼바 수사인력 부족에 대검 연구관들 파견 방침,0.0,-0.8334259688854218,0.2796802818775177
2018-12-05,한경로보뉴스 폴루스바이오팜 5 이상 상승,0.0,0.5250216871500015,0.4413711428642273
2018-12-06,영상 대한민국 산업기술 R amp;D 대전 세상 바꿀 혁신기술 총집합,0.0,2.123449742794037,0.4521438479423523
2018-12-07,최대실적에도 임원 승진 30 줄여 불황 대비해 군살 빼는 삼성전자,0.0,1.7610465288162231,0.22102034091949463
2018-12-10,코스피 박스권 순환매 예상 대외 불확실성 여전,0.0,0.73206827044487,0.02674296498298645
2018-12-11,삼바 기업계속성 등 인정받아 8만 개미들 안도의 한숨,17.787860870361328,6.016016006469727,17.381540298461914
2018-12-12,한경로보뉴스 아난티 상한가상승 도달 사외이사로 짐 로저스 선임,0.1268654316663742,-2.5734646022319794,0.13756325840950012
