Date,Close,기사날짜,기사제목
2023-11-01,68600,2023.10.31,"['삼성전자 3분기 영업익 2조4336억원 반도체 적자 폭 줄었다', '삼성전자 “매분기 20 씩 가격 올린다” 반도체  승부수’ 통할까', ' 내년 하반기부터 메모리 공급 부족  고성능 반도체 공세 나선 삼성전자', '삼성 반도체  SK의  엔비디아 독점’ 깬다 내년 흑자전환 초미 관심', '혁신으로 아웃소싱·반도체 경쟁력 높여   제니엘 등 18명 영예', '애플 새 노트북 발표회서 대놓고 삼성 저격 “갤럭시는 관심 없는데”', '외인  이달 3조  셀코리아’ 가장 많이 팔아치운 종목은', '크랭크스포츠  2023 스키·스노우보드 헬멧 컬렉션 출시', ' 김명수칼럼  은행이 이자장사 비난 피하는 법', ' 부음  노복선씨 별세 외', ' 김명수칼럼  은행이 이자장사 비난 피하는 법', ' 부음  노복선씨 별세 외', '에코프로 피하자 나흘새 공모주 6곳  우르르’ 청약 도전', '노동·인권단체 “G7 정상회담에 AI 소외계층도 참여시켜라”', '빅웨이브AI  설비공정 데이터를 활용한 AI 검사지능화 및 공정지능화 기술 개발', ' 상보  삼성전자  올해 첫  조 단위  영업이익 달성   반도체 적자폭 줄었다', '삼성전자 오늘 3분기 실적 발표    반도체 반등할까', ' 갤Z5 효과  본 3분기  비수기 4분기가 관건  삼성전자 3분기 실적 선방 ', '반도체 바닥쳤다  삼성전자  HBM 생산 내년 2 5배 늘린다', ' 컨콜  삼성전자  HBM 생산능력  현재 2 5배 이상 늘릴 것 ', ' 컨콜  삼성전자  생활가전  내년 턴어라운드 ', ' 컨콜  삼성전자  D램 대비 낸드 감산 폭 상대적으로 크게 운영될 것 ', ' 속보  삼성전자 반도체부문 3분기 영업적자 3조7500억', ' 컨콜  삼성전자  최첨단 제품 개발로 낸드사업 대응   美정부 승인으로 中공장 선단공정 전환 확대 ', ' 속보  삼성전자  3분기 매출 67조4047억   전년比 12 21  하락', ' 공시  삼성전자  3Q 영업익 2조4336억원  전년比 77 57 하락', ' 속보  삼성전자  3분기 영업익 2조4336억   전년比 77 57  하락', ' 반도체 적자 갤럭시·디스플레이가 메꿨다    삼성  올해 첫  兆 단위  영업익  종합 ', ' 웰스토리 일감 몰아주기  삼성  첫 공판서 혐의 부인  경영권 승계 무관 ', '위기 속 빛난  제조현장 혁신’ 국내외 초격차 성장 이끌었다', '폴더블 다음은 롤러블 아닌 벤더블   휘는 폰  등장  1일IT템 ', '4개월만의  트리플 증가    반도체 회복세  성큼 ', ' fn사설  경기회복 불씨 살아났지만  경계심 늦출 수 없다', ' fn마감시황   속절없는 하락   코스피 2300선 재차 붕괴', ' fn오전시황 코스피  외인 매도에 3거래일만 하락세', '4개월만의  트리플 증가    반도체 회복세  성큼 ', ' fn사설  경기회복 불씨 살아났지만  경계심 늦출 수 없다', '반도체 바닥 찍었나 힘받는 경제  상저하고   산업활동  트리플 증가  ', ' fn마감시황   속절없는 하락   코스피 2300선 재차 붕괴', '제47회 국가생산성대회 개최 박인주 제니엘 회장 금탑훈장 수상', ' fn오전시황 코스피  외인 매도에 3거래일만 하락세', ' 부음  노복선씨 별세 外', ' fn오후시황 코스피  1 대 약세   외인 3600억  팔자 ', ' lt;부고 gt; 김상기씨 기아자동차 전무  모친상', '삼성전자 3분기 반도체 적자 3 75조원 1·2분기보다 줄었다', ' 반도체 불황 끝나간다  연말 기대  삼성전자 실적 개선세 뚜렷  종합 ', '삼성  메모리 시장 바닥론 확산 5세대 HBM 내년 양산 ', 'I am 아직도  6만전자 에요  국민주  삼성전자  반등 언제쯤', ' 속보  삼성전자  3분기 영업이익 2조4336억 전년비 77 57 하락', '이재용이 M amp;A 주도한 하만  실적 효자 ', '삼성전자  주당 361원 현금배당 결정 주목 e공시 ', ' 반도체 적자폭 축소   7만전자 에 다가서는 삼성전자', ' 속보  삼성전자 3분기 반도체 적자 3조7500억', '삼성 AI용 메모리 생산 2 5배 늘린다', ' 김치냉장고  전기요금 아끼려면 뚜껑형 사세요 ', '외인 5000억 매도 폭탄 코스피 2300 또 붕괴', '솔브레인  디엔에프 경영권 인수', 'FOMC 앞둔 뉴욕증시  반등  尹  국회 찾아 시정연설  모닝브리핑 ', ' 시총 3위였는데  휴지 조각될 판  카카오 개미들  울분 ', '코스피  2차전지주 급락에 하락 마감 2300선 무너져', ' 부고  강보우 씨 별세 外', '코스피  개인·기관  사자 에 소폭 상승 코스닥은 약보합', '코스피  외국인  팔자 에 장중 2300선 붕괴 코스닥도 1  가까이 하락', ' 영업익 3개월만 4배  삼성전자  반도체 적자 줄이며 실적 개선 상보 ', ' 다시 반도체의 시간  삼성전자  HBM공급 2 5배상승 물량공세 ', '삼성전자  불황에도  역대급  투자 올해 53 7조원 쓴다', '고맙다 폴더블  삼성전자 MX  3분기 실적  쾌청 ', '반도체 업턴 기다리는 삼성전자  내년도 HBM 공급  업계 최고 역량 ', '삼성전자  내년 HBM공급 2 5배 확대  고객사 공급협의 완료 ', '삼성전자  생활가전 부문 수익성 개성  내년 턴어라운드 기대 ', '삼성전자 반도체  3분기 누적 적자 12 7조 내년 흑자 기대', '삼성전자  D램 대비 낸드 생산량 조정 더 크게 진행 될 것 ', ' 스마트폰·가전이 살렸다  삼성전자  DX부문 영업이익 5 6 상승', '삼성전자  내년 선별적 감산 이어질 듯  생산성장률 제한적 ', '삼성전자  AI수요급증  HBM·패키지 공정 증설 나설수도 ', '삼성전자  美VEU통보 영향  中시안팹 공정전환 가속화 ', '삼성전자  비스포크 AI케어솔루션 전세계 동시 출시 예정 ', ' 속보 삼성전자 3분기 영업익 2조4336억원 전년比 77 57 하락', '디스플레이·하만  쌍끌이  역대급 실적 낸 삼성의 두 효자', '삼성 단체급식 첫 공판 前 삼성 미전실장  급식불만 폭주해 해결 지시한 것 ', '신제품도 1년 지나면 가격 뚝  40만원대 삼성폰 왜 만드나 ', '이재용 합병재판  2270만건 검찰 압수물 속엔   ', '터치로 진맥까지 삼성  바이오칩  세계에 심는다', ' ADC 성장성 높다  같은 목소리 낸 삼바와 롯바  나머진 이견', ' 오후엔 텅텅  맹탕 국감 속  민생·약자 앞 협치  빛나던 순간', '다음달 신세계  쓱데이    1 5조 규모 물량 푼다', '코리아 대탈출 공포의 외인  이달만 2 5조 던졌다', '개인  사자  외국인  팔자  국내 증시 혼조세']"
2023-11-02,69700,2023.11.01,"[' 초격차 기술은 삼성전자 최고 가치 ', '삼성전자 창립 54주년 한종희 “기술선도  삼성전자 최고의 가치”', ' 6만전자’ 언제 탈출하나 삼성전자 두고 증권가 엇갈린 시선', '새내기 워트  상장 5일만에 공모가 두배로 삼성전자 HBM 증설 덕 봤다', '“삼성 현대차도 이젠 빚부터 갚자” 고금리에  10억 초과 예금’ 크게 줄어', '갤S23으로  실적효자’ 급부상한 삼성 모바일 비수기 4분기 돌파 전략은', '희비 엇갈린 신흥국 증시   베트남  휘청  인도  선방 ', ' 필동정담  뒤주에 들어간 냉장고', '세상 바꾸는 디자인의 힘', '재영솔루텍  김승재 대표 지분 확대 “지속적 매수로 실적 자신감”', '매경이 전하는 세상의 지식  매 세 지  11월 1일 ', '“외국인·기관 따라서 살 걸ㅠㅠ” 올해 개미 수익률 어느 정도길래', ' 디지털 글로벌 규범 구축  尹  AI정상회의 화상참석', '개미만 또 처참했네 올 투자수익률  22 ', '나치 암호해독 장소서 英  AI 정상회의  개최', ' 속수무책’ 한국증시에 10월 한 달 사이 외국인  13  개인  16 ', '정답찍기 교육 수조원 쓰며 대학투자 가장 인색한 韓  낡은 패러다임  미래없다', '삼성전자 창립 54주년    한종희  기술 선도는 삼성 최고의 가치 ', '삼성전자  보급형 태블릿  갤럭시 탭 A9   출시   36만원대부터', 'D램·낸드가격 2년만에 동반 반등  반도체 겨울 끝나나', ' 6G 주도권 확보 나선다  과기정통부  R amp;D 추진전략 공개', '서울시 내년 예산 1 4조원 삭감  각 지자체도  초비상 ', '세계로 뻗는 K 디자인  디자인 코리아 2023’ 개막', ' 디자인으로 세상을 바꾼다  2000개 혁신제품 한눈에   디자인코리아 2023 닷새간 개최', '우리은행   우리 기업에 우리의 힘을’ 기업PR 광고 선봬', ' fn마감시황  코스피  가까스로 2300 회복', ' fn오전시황  코스피  상승세 사수', '코스피  기관 매수세에 2300  회복  삼성전자·SK하이닉스  상승 ', ' 창립 54주년  맞은 삼성전자  기술·품질이 핵심 경쟁력 ', '한종희 부회장  기술과 품질은 삼성 최우선 가치 미래 성장 이끌 신사업 발굴하자 ', ' 삼성 때문에 다 망한다  맹렬한 반대 54년 만에  대반전   김익환의 컴퍼니워치 ', '코스피  장중 2300선 등락 삼성전자 2 대  상승 ', 'D램  감산 효과  2년3개월 만에 가격 반등', ' 삼성전자  경기선행지표 하락 우려 목표가 9 5만→ 7 7만  하이', ' 앱 다운 안심  삼성 갤럭시 새 보안 기능  오토 블로커  배포', ' 이승우의 IT인사이드  사촌이 폰을 싸게 사면 배가 아플까', '코스닥 새내기 워트  상장 닷새 만에 공모가  두 배  훌쩍', ' 너무 하고 싶었어요  한소희·뉴진스도 쓰는  의외의 인싸템 ', ' 속보  코스피  1  이상 오르며 2300선 회복 코스닥 1 4 상승', '청년 축산 스타트업 소톡  카카오톡 기반 축사 관리 시스템 오픈', '54주년 맞은 삼성전자  두 동생 손 잡고 난다  기술·품질 최우선 ', '반도체 업황 살아날까  대장주  삼성전자·SK하이닉스 강세', '삼성전자 반도체 적자 축소 점진적 실적 개선 NH투자증권', '삼성전자  메모리 위주 실적 개선 목표가 9 4만원  유지   DB금융투자', 'D램 가격 2년만에 15  상승 반도체 바닥 찍었나', '재영솔루텍  김승재 대표 지분 확대  지속적 매수로 실적 자신감 ', '애니셀   2023 스마트비즈엑스포  참가   AI 및 융합보안 기술력 인정받아', '6G도 한국이 1등으로 정부  4407억 규모 R amp;D 계획 발표', '스마트하고 차별 없는 친환경  K 디자인  더 나은 미래 제시한다', ' 갤럭시 탭 A9   내일 출시 A시리즈 최초 5G 탑재', '기관 순매수에 코스피 2300선 회복 2차전지 또 떨어졌다', '기관 사들이자 코스피 2300선 회복  코스닥도 강세', ' 투데이 窓 왜 한국이 디지털헬스케어 선진국인가']"
2023-11-03,69600,2023.11.02,"[' 포토  삼성전자  비스포크  식기세척기 신제품', '이참에 아이패드까지 잡는다 삼성  갓성비’ 승부수 통할까', ' 김치냉장고 1등’ 자리 흔들리자 돌격하는 삼성·LG 올 겨울 누가 이길까 ', '젖병살균에 물기까지 싹 더 강해진 삼성 식기세척기', '“서울 집값 실화냐” 주택수요 직주근접  젊은 도시’로 이동', '매니저의 HOT종목', '코오롱  골프 치며 사우디와 사업 모색 ', '“美 블랙프라이데이  질 수 없지” 유통가 대규모 할인행사 열어', '“빨리 주식앱 다시 깔아 ” 반도체·2차전지 모처럼  급반등’', '미국 금리 1년반 만에  정점’ 찍었지만 파월 “내리는 건 검토 안 해”', '尹  이재용·최태원·구광모 회장과 비공개 만찬', '파월의 선물에 코스피 1 대 급등 본격 반등 국면 올까', ' 마약 루머 에 엔터株 뭇매   반도체는 지루한 횡보  MBN GOLD 증시기상도 ', '4분기 반도체 업황 반등 기대 커지는데 이익 상승으로 주가 모멘텀 차이나 리스크도 완화', '퀄컴  예상 상회 실적 발표에 4  급등', '광고시장 위축됐는데 네이버 이익 확 늘어날것 같은 예감이  왜 ', ' 생큐  파월   코스피·코스닥 모처럼  함박웃음 ', ' 다가온 부산엑스포 운명의 시간  삼성전자  파리서 집중 홍보', '현금 줄어든 삼성전자    허리띠 조일 것 ', '삼성전자서비스  안전도  초격차     국제표준 인증 획득', '삼성전자  본격적인 수요 회복 관측    4분기 수익성 개선 전망 상상인', ' 단독  삼성 웨어러블 로봇  봇핏  실물 첫 확인  내년 상반기 출시', ' 건조·살균으로 위생 걱정 싹 씻어냈다  비스포크 식세기의 진화', ' 안 오른 종목 찾기 어렵다    코스피 1 8 ·코스닥 4 5  급등  fn마감시황 ', '상장 한 달  두산로보  성적표는', ' 도비시  해진 파월   코스피 코스닥 나란히 급등', ' 갤럭시S24울트라 이렇게 나온다  렌더링 등장   엣지는   1일IT템 ', ' 갤럭시S24울트라 이렇게 나온다  렌더링 등장   엣지는   1일IT템 ', '롯데하이마트  11월 한 달간  디지털 가전 페스타 ', '“韓  내년 5월 AI 안전성 미니 정상회의”  과기정통부', ' 비둘기 에 가까워진 파월  韓 증시 날고 환율 내렸다  美 기준금리 2연속 동결 ', '아이폰15프로맥스 써보니   발열 없지만 카메라는 기대 이하  1일IT템 ', ' 7만전자  회복 SK하이닉스 시총 2위  등극 ', '온건해진  파월의 입  국내 증시  날았다', '코스피  FOMC 안도에 1 8  올라 코스닥은 4 대 급등', ' 금리 인상 마무리  FOMC 2연속 동결에 코스닥 4 대 강세', ' 글로벌 악재에 주가조작까지  다 나왔다  이제는 반등 ', '기업 영업이익 기준 통일 지분법 손익 뺀다', ' 삼성맨 이 설립한 잇다반도체  딥테크 팁스 선정  김종우의 VC 투자노트 ', '코스피 장 초반 1 6  상승 SK하이닉스 시총 2위 자리 탈환', '美·유럽  1타 PEF  성공 비결은  산업 이해도  시험대 오른 토종 PEF 차준호의 썬데이IB ', '삼성전자  건조·살균 강화한  비스포크 카운터탑  신제품 출시', '삼성전자  파리 공항서  2030 부산엑스포  유치 지원', '삼성전자서비스  안전보건경영시스템 국제표준 인증', 'SK하이닉스  LG엔솔 꺾고  코스피 시총 2위  재탈환', ' 코스피 지각변동  SK하이닉스  시총 2위 자리 되찾을까', ' 3Q 선방  삼성 스마트폰  4Q는 불안 신제품 당겨쓰기  한번 더 ', '美 비둘기 날개 펴자 외국인 돌아왔다 달아오르는 韓 증시', '대한상의 환경연  탄소중립 공동포럼  선제적 정책 지원 필요 ', '美비둘기 날갯짓에 반도체·2차전지  쑥  연말 랠리 가능할까 ', '한국  내년 5월 AI 안전  미니 정상회의  개최국 맡는다', 'LG전자  美소비자가 뽑은 2023년  올해 최고 TV ', '디엠씨 DMC   2023 한국전자전 KES  참가   방수 테스트 장비 주목', '머니투데이 오프라인 헤드라인   2일', '퍼브  일본  아시아에듀테크써밋 글로벌 어워드 에서 은상 수상']"
2023-11-06,70900,2023.11.05,"['삼성일가  주식 2 6조원어치 매각한다   상속세 재원 마련 위해', '삼성家  계열사 주식 2조6000억 매각   상속세 납부', ' 이재용 원픽’ 이제 빛보나 삼성에 든든한 버팀목 된  이것’  방영덕의 디테일 ', '2년만에 급반등한 반도체 가격 한국 시총순위까지 바꿨다  위클리반도체 ', '중흥토건  경기 최대 첨단산단 입지   배후수요 풍부', '삼성家   12조원  상속세 마련 위해 2 6조 주식 매각', '내년 CES  韓 기업 사상 최대 참가  AI 모빌리티 주도한다', ' CES 2024  한국 기업 500곳 참가  AI·모빌리티 등  혁신 기술  펼친다', 'G마켓 연중 최저가 도전   6일 자정부터 쇼핑축제  빅스마일데이 ', ' 1년중 가장 싸다   G마켓·옥션  빅스마일데이’', ' lt;부고 gt;김도형씨 한국일보 정치부 기자  모친상', '눈높이 낮춘 증권가  반도체로 수익 내고 은행株로 방어 ', '한·미서  삼성家 사회 환원  심포지엄·전시회', ' 단독   한국판 카네기  삼성家 상속세 내려고 주식 2 6조 처분  김익환의 컴퍼니워치 ', '삼성家  상속세 내려 주식 2 6조 팔기로', '대법·헌재 수장  초유의 동시공백  초읽기', '외인·기관 쌍끌이 매수 다시  7만전자  되나', '伊 지지표 흡수땐 부산서 엑스포  각국 대표 설득  특명', '아일랜드  142조원 미래기금  한국기업에 투자할 수 있어 ', '홍라희·이부진 삼성家   12조 상속세  납부 위해 2 6조 주식 판다', ' 먹튀·시세조종  국민기업의 배신 주가   76  →개미 등 돌렸다', ' 연중 최저가 도전  G마켓  6일부터  빅스마일데이 ', '연중 최대 축제 돌아왔다 G마켓 6일부터  빅스마일데이  시작', '상폐위기 대유사태  앤디포스 경영권 이슈로 확산되나', '플래그십 출시 기간엔 알뜰폰 약세  이젠 옛말', ' 5분에 1마리  돼지 잡는 AI 로봇 인력난에 대형 도축장 줄선다']"
2023-11-07,70900,2023.11.06,"[' 단독  삼성의 반격 5000만화소 이미지센서  구글폰에 탑재', '엄마들 줄서고 난리났네 백화점도 모셔온  중국 스타’ 뭐길래', '공매도에 눌렸던 종목 예상보다 많아   연말랠리에 베팅', '토이스토리 옷 입은  갤럭시 버즈 FE’ 가격 보니', '폴더블폰 다음은  이것’ 삼성도 애플도 내년엔 내놓겠다  속도전’', '월가 “디램 반도체 반등 이미 시작” ··· 이 주식 사라는데', '이복현  공매도  유리 다 깨졌을 정도로 불법 보편화 ', ' 부음  유춘상씨 별세 외', '이복현 “불법 무차입 공매도 100여개 확인 유리가 다 깨져  불법 보편화”', '대한항공 비행기편  GS편의점앱서 예매', '이복현 “불법 무차입 공매도 100여개 확인 유리가 다 깨져  불법 보편화”', '대한항공 비행기편  GS편의점앱서 예매', '선거용  공매도 때리기’ 비판에 “불법  상상 그이상” 작심발언', '공매도 금지에 증시  폭등’ 당국 “불법 공매도 100여개 적발”', '좋다 말았네  공매도 전면 금지’에 시총 2위서 멀어진 SK하이닉스', '“오랜만에 돈 번 기분” 공매도 금지 첫날 코스피 2500 뚫었다', '공매도에 눌렸던 종목들 날았다   반등장 지속될지는 미지수', '삼성전자  2년 만에 5000만 화소급 이미지센서 신제품 출시', ' 9만전자  가능할까   삼성전자 목표가 9만2000원 DS투자증권', ' 부음  이점선씨 별세·지영원씨 삼성전자 커뮤니케이션팀 프로  조모상 外', ' lt;부고 gt; 오태환씨 삼성전자 네트워크사업부 근무  부친상', '리서치알음  에브리봇  삼성전자와 서비스로봇 공동개발   AI무빙로봇 플랫폼 재평가 ', '이복현 “은행 이자수익  삼성·LG·현대차보다 많아 어떤 혁신했나”', '이복현  은행들 어떤 혁신했길래 60조원 이자이익 거두나  작심 비판', '삼성  갤럭시버즈FE 토이스토리 에디션 출시', '2030년까지 글로벌 오픈랜 투자 40조 육박', 'DK아시아  美 뉴욕 타임스퀘어 광고   국내 건설·시행업계 최초', ' 이자로 60兆 번 은행  삼성만큼 혁신했나 ', 'DK아시아  美 뉴욕 타임스퀘어 광고   국내 건설·시행업계 최초', '차세대 네트워크  오픈랜 에 뭉칫돈 몰린다', ' 메모리 선행지표’ D램 현물가 반등', ' 찐팬 모여라  가전업계  커뮤니티’ 판 깔아주며 팬덤 확보', '과기정통부 특허청   글로벌 ICT 표준 컨퍼런스  개최', '수원시 주한미국상공회의소  기업·투자유치 협력  양해각서 체결 ', 'NH Amundi운용  HANARO K 반도체 ETF  순자산 1000억 돌파', ' fn오전시황  공매도 금지 첫날  코스피 단숨에 2400선 회복', ' 토이스토리 굿즈 인 줄 갤럭시버즈 FE 케이스 출시', '노트북·폰도 AI 시대 삼성 퀄컴 각축전', '이복현  은행 이자수익 60조  삼성·현대차보다 많아 어떤 혁신했나 ', '첨단 반도체 제조장비 내놓은 캐논 ASML에 가격  승부수 ', '이복현  불법 공매도로 골목 전체 유리가 다 깨져있는 상황 ', '수원특례시  암참과  투자유치 촉진 상호협력 양해각서’ 체결', '공매도 금지 첫날  코스피 134P 급등', 'HRCap  아태지역 10대 서치펌 선정', '28년째 동업 중인 벤처 1세대  기업용 AI로 새로운 도전 ', ' 가전族 잡아라  G마켓  11월 쇼핑대전 ', '28년째 동업 중인 벤처 1세대  기업용 AI로 새로운 도전 ', ' 가전族 잡아라  G마켓  11월 쇼핑대전 ', ' 부고  고병무 씨 별세 外', '캐논  ASML 독점에  도전장  가성비 높은 반도체 장비 판다', ' 부고 지영원씨 삼성전자 커뮤니케이션팀  조모상', '귀여운 토이 스토리 캐릭터가 갤버즈 케이스에 쏘옥', '이복현  은행 이자이익  삼전·LG·현대차보다 커 리스크 고객 전가 ', ' 우군은 없다  벼랑 끝 카카오제국 신뢰 회복  최우선 과제', '반도체  슈퍼을  ASML 독점 깨진다 日캐논의 절치부심', ' 중국산 좋더라  100만원 넘어도 잘 팔리더니  깜짝 할인  경쟁 후끈', '스타트업  큰손   ESG·역외펀드에 빠진 이유  글로벌화 발판 ', '역대 최대 급등한 코스피  다시 펀더멘털에 주목 ', '수원시  주한미국상공회의소와 기업 및 투자 유치  맞손 ', '대한항공과 손잡은 GS리테일 신개념 유통·마케팅 모델 나오나', '공매도 몰렸던  이 종목들  날았다 코스피 단숨에 2400선 회복', '김주현·이복현  역대급 이익낸 은행에  사회적 역할  압박', ' HANARO Fn K 반도체  ETF  순자산 1000억원 돌파', ' 공매도 한시 금지 에 훈풍 코스피 단숨에 2500선으로', ' 휴지조각 꼴 그냥 못 봐  폰 터치 몇 번으로 개미 힘 커진다', '에딘트  KIC 실리콘밸리  ICT Growth 프로그램  선정', '플래그십 충성 옛말  알뜰폰 자급제 로 갈아탄다']"
2023-11-08,69900,2023.11.07,"['“삼성전자 17명 사장 중 유일” 이영희 사장  포브스  亞 가장 영향력있는 여성’ 선정', '“뭘 좋아할지 몰라 다 준비했어”  폰꾸 맛집’ 뜬 삼성전자', '경계현 삼성전자 사장 “AI로 반도체뿐 아니라 인류 문제도 해결”', '“스마트폰 시장 내년 반등” 삼성  센서 1위 소니와 격차 좁힌다', ' 스마트 산업강국 함께하는 제조혁신  45년 업력에도 포기한 쌀 공정 자동화  삼성 도움으로 해냈죠', '4대그룹 ETF 반도체에 웃고  배터리에 울고', '우유공장 견학하던 중학생  공장자동화 기술 국가대표 됐다', '“너무 비싸 이때만 기다렸다” 2위 리클라이너  3위 거위털이불   1위는 이것', '공매도 한시적 금지  확실한 제도 개선 기반돼야  핫이슈 ', '로봇에 꽂힌 대구 글로벌 혁신특구 도전장', '로봇에 꽂힌 대구 글로벌 혁신특구 도전장', 'GTX 조기 개통에 “집값 오른다” 부동산 들썩이는 동네는 어디 ', '통신비 낮추고 마트 쉬는날 평일로 여당  민생 보따리’ 푼다', '매경이 전하는 세상의 지식  매 세 지  11월7일 ', '공매도 금지는  1일 천하’  장 열자마자 붕괴된 코스피 2500선', 'GTX 조기개통 동탄 신고가 수원·남양주 들썩', '공매도 금지 첫날 외국인 순매수 최다는 SK하이닉스·LG엔솔', '이영희 삼성전자 사장  亞 가장 영향력있는 여성  꼽혀', ' 갤럭시S24 한국 모델에 엑시노스2400·8GB 램 탑재   1일IT템 ', ' 반도체 전설  짐 켈러  삼성 파운드리 훌륭   오픈소스는 혁명 ', '태블릿 시장 바닥 찍었나  2분기 연속 반등', '일주일 앞으로 다가온  쓱데이   인기상품 사전공개로 기대감 만발', '  AI·반도체 기술로 인류의 더 나은 미래 기대    올해 7회째 맞는 삼성의  이 행사 ', '해외 VIP들 韓 올 때마다 방문 필수코스 된 삼성·LG의 R amp;D 본거지', ' 한·인도 CEPA  내년 상반기 본격 개선 협상 추진    韓기업 애로 해소 촉구', ' 9년 열애  이정재·임세령  LA서  구찌 커플룩  선보여', ' fn마감시황  일장춘몽인가    코스피  하루 만에 2500선 반납', ' 한·인도 CEPA  내년 상반기 본격 개선 협상 추진    韓기업 애로 해소 촉구', ' 미래 먹거리 여기 다 있네  해외 거물 단골코스 된 마곡·평택', ' 9년 열애  이정재·임세령  LA서  구찌 커플룩  선보여', ' fn마감시황  일장춘몽인가    코스피  하루 만에 2500선 반납', ' fn오후시황  국내 증시  2 대 급락    공매도 금지 일일천하', ' fn오전시황  국내 증시  공매도 금지 이튿날 동반 약세    외인·기관  팔자’', '방문규 산업장관  코리아세일페스타 간담회서 업계 적극 동참 당부', '경계현  AI·반도체로 새 미래 열자 ', '2차전지 판 외국인  AI반도체株는  폭풍매수 ', '2차전지 팔아치운 외국인  여기 로 우르르 몰렸다', '이번엔 한화 기재부에  러브콜  보내는 대기업  관가 포커스 ', '어제는 열탕  오늘은 냉탕 코스닥 매도 사이드카 발동', ' 공매도 금지 이틀째  증시 급랭 코스닥 매도 사이드카 발동', ' 엠씨넥스  내년 연간 매출액 1조원 전망  대신', '벤처투자 혹한기에도 잘 나가네 뭉칫돈 몰린  세 분야   긱스 ', ' 마켓칼럼   공매도 금지로 어려워진 종목 선택 업황 개선 반도체 주목해야 ', '내년엔 반등 기대했는데 상장사 실적 전망 줄줄이 하향조정', '공매도 금지 이틀째  흘러내리는 증시 에코프로만 5 대 강세', ' 반도체 전설 도 찾은 삼성 AI 포럼 세계 석학 머리 맞댔다', '신세계그룹 계열사 총출동  쓱데이  일주일 앞두고 예열 속도', ' 반도체 전설  짐 켈러  AI 발전하려면  하드웨어 오픈소스 중요해 ', '삼성·LG 이어 SK 만난 민주당 의원들  성장산업 공매도 금지 검토 ', '성과급 앞두고  갈빗집 vs 쌀밥집  직원들  경쟁사 실적이 더 궁금 ', '게임에 빠진 사우디 왕자  비싸도 불티나겠네  삼성·LG 모니터 활짝', '갤S24에  엑시노스 2400  실린다   AP시장 점유율  반등  주목', '그룹 구내식당 70  내줬는데   신세계푸드 단체급식 더 강해졌다', '이재용·이부진 사칭까지 등장  가짜 투자 광고  막기 어려운 이유', ' 높아진 물가  부담 줄이세요  현대카드 11월 할인 이벤트', '中  반도체 스타트업에 7조원 쐈다  美 제재에 투자 확대로 대응', '이재용 회장 사칭한  투자비법  광고 방심위  중점 모니터링 ']"
