,Date,Close,기사날짜,기사제목,EMA
10,2018-11-15,44250,2018.11.14,"['삼성전자  갤S10 탑재할  두뇌 AP 공개', ' 경제신문은 내 친구  폴더블폰이 주목받는 까닭', 'SK텔  서울 명동을 글로벌 5G 1번지로 ', '블록체인 스타트업 세타랩스  카이스트와 공동연구', '인공지능 연산 7배 강화   삼성  엑시노스 9’ 공개', ' 화제의 법조인   사람답게 살 권리  더불어 사는 가치 추구 ', '삼성  뇌 닮은 모바일AP 개발 스마트폰 두뇌 회전 7배상승', '삼성 협력사 채용 한창 R amp;D 직무는  경력 ·영업 마케팅은  외국어 ', '저무는 K·K 그룹  韓商 성공신화  저임금 좇는 진출 방정식으론 한계', ' 마켓인사이트  LS엠트론  진대제 펀드와 소송전  사업재편 차질 책임져라 ']",43483
11,2018-11-16,44000,2018.11.15,"['영화 11편 1초에 SK하이닉스 차세대 D램', '삼성  中서 인공지능포럼 샤오미 등 500명 참석', '반도체 빼면 상장사 영업익 10  줄어', ' 단독  30대 기업 인건비  1년새 8 5  급증', '해외직구로 TV 싸게 사볼까', '영업이익 급감한 현대차·모비스·네이버 인건비는 되레 급증', ' 3분기 실적 결산  상장사 실적   착시   삼성전자 빼니 영업익 줄었다', '삼성  中 베이징서 첫 AI 포럼', '삼바 담은 펀드·ELS 안전한가', '갤럭시 S9  폴라리스 블루  색상 추가', ' 삼바 거래정지 후폭풍  김태한 삼성바이오로직스 사장  임직원에 메일  국제회계기준에 맞게 처리 ', ' 삼바 거래정지 후폭풍  서울중앙지검서 수사 배당 유력', ' fn사설 바이오산업에 재뿌린 오락가락 금감원', 'LG U  5G 패킷 교환기 구축  처리속도 10배상승', '삼성전자  중국서 첫 AI 포럼 첨단 기술 공개', 'SK하이닉스  차세대 DDR5 D램 개발 2020년 양산', '빚 독촉하듯 정치권  대기업에 농어촌기금 출연 압박', '코스피기업 10곳 중 6곳  작년보다 돈 못 벌어', ' 기술에서 답 찾겠다  기업 CEO 등 1100여명 몰려', ' 반도체 착시  빼니 상장사 영업익 11 4  급감', ' 책마을  포노사피엔스 사로잡으려면  추격의 추억 에서 벗어나라', '30대 임원·외부 수혈  ICT 인재 에 꽂힌 현대차', '두산  디지털 프로젝트만 215개 月 단위 사업계획  실시간  변경', '독일  화웨이 5G 장비 배제 검토']",43532
12,2018-11-19,43650,2018.11.18,"['삼성  갤럭시J로 인도시장 재탈환 시동', ' CES 2019  미리 가보는 미래 5G·AI·스마트시티 빅체인지', ' 감사위원 분리선임 입법땐 세계 최초의 사례 ', '삼성전자  김장축제   취약계층에 김치 전달', '삼성전자 3년만에 12월 인사   사장단 인사는 소폭에 그칠듯', '코콩멩 HP SEA K 사장  가벼운 고성능 노트북으로 한국시장 공략 ', '삼성전자  아동보육시설서  김장축제’', '삼성전자 데이코  美서  비전메이커’ 행사', ' 가성비 甲  무한잉크 프린터  불황 속 돌풍', '또 기업 옥죄는 與  기존 순환출자도 의결권 제한 ', '답답한 박스권 증시 4분기 실적株  귀한 몸 ']",43543
13,2018-11-20,42800,2018.11.19,"['반독점·특허訴까지 견제 당하는 삼성전자', '글로벌 100대 브랜드 중국 12개 한국은 삼성만', '창업주 선영 찾은 삼성家', ' 매경데스크  삼바 그때는 맞았는데 지금은 틀리다 ', ' 사설  中 반도체 반독점 조사  애꿎은 한국기업 희생양 삼아선 안돼', '삼성 프리미엄TV 시장점유율 50  회복', '조용했던 이병철 회장 31주기   이재용 부회장은 지난주 참배', '폴더블폰 출시 예고에 스마트폰 부품주 반등 노린다', '보아오포럼 서울회의 개막  위기극복 논의', ' 포춘클럽 라운지  LG전자  생활가전·TV 실적 우수하지만 주가는 저평가', ' 개방형 상생혁신 성과 나오기 시작했다 ', ' fn사설   반도체 경고음’ 귓등으로 듣지 말아야', '30㎝ 폭설 속 노숙 체험한 삼성전자 북미 임원들', ' 글로벌 100대 브랜드 에 삼성전자 19위 韓 기업 유일', ' 8K TV 시장반응 예상보다 뜨겁네  삼성  마케팅 전략  공격 앞으로 ', '故 이병철 삼성 창업주  용인 선영서 31주기 추모식', '반도체 업황  정점   반등 기점은 내년 2분기 ', '국가대표 기업 품질 혁신으로 퀀텀 점프', '상장사 내년 이익전망치 하락률 전세계 주요국 중 가장 크다', ' 김홍열의 데스크 시각  왜 스마트폰을 접어야 하나', '무역협회  해리스 주한 美대사 초청 간담회', ' 벤처투자 사상최대 라고 내세웠지만 홍종학 중기부 장관 간담회', ' 사설  반도체가 美·中 무역전쟁 희생양 될 가능성 대비해야', ' 미디어·엔터테인먼트·게임 등 파괴적 혁신 기업에 투자해야 ']",43473
14,2018-11-21,42100,2018.11.20,"['삼성  TV 등 모든 가전에  AI비서  빅스비 2년내 탑재', '삼성화재·두산 우선주 저평가·고배당  매력 ', ' 韓반도체 파티 끝났다  내년 경제성장 경고음', '美기술주 폭락 커지는 반도체 위기론', 'FI 없이 2조 빅딜 CJ 이유있는 자신감', ' 매경포럼  폴더블폰과 파괴적 혁신', '데이터 없으니 데이터인재도 안나와 암울한 생태계', '가격·성능 다 잡은  중저가 스마트폰  쏟아진다', '금감원  피플펀드 檢 수사의뢰   P2P 시장 투자 찬바람 부나', ' 단말기 완자제  고삐 더 죄는 국회', '지금 우선주를 사야할 3가지 이유', '블프 타고 달릴 종목은 IT·간편결제·택배·운송', '삼성  빅스비 생태계 확대  개발 프로그램 공개', '檢으로 넘어간 삼바 특수2부가 수사할 듯', '3개월째 표류하던 경찰청 PC사업 삼성 제치고 비욘드솔루션이 따내', '아이폰 매출목표 3분의 1로 하향 반도체·휴대폰 부품株 우수수', ' 차병석 칼럼  경제팀이  위기 비상벨  울려라', '권오현  4차 산업혁명 시대  정부·기업 아이디어 공유해야 ', ' 전문가 포럼  주식투자는 계기비행이다']",43342
15,2018-11-22,42450,2018.11.21,"['내년 실적전망 13조差 삼성전자  시계제로 ', '농작물 발육 촉진하는 삼성전자  백색광 LED ', 'ETF에 삼성전자 과대 영향 막게 코스피200 시총상한제 도입한다', '우리은행·삼성전자  양성협업 大賞 ', ' 취임 1주년  허인 국민은행장  대출영업은 한계 KB  디지털전략 올인 ', '원재희 이사장  中企 혁신기회 놓치지 않게 스마트공장 구축 지원할 것 ', '삼성전자  60세 퇴진 룰’ 올 임원인사도 적용될까', 'SKT  삼성 손잡고 5G 기술 이끈다', ' 특별기고  상생 스마트공장 中企 경쟁력 향상', ' 삼바 스모킹 건  문건 살펴보니  IFRS 원칙 따랐다는 증거 넘친다 ', '코스피200 시총상한제 도입 특정종목 편입비중 제한키로', ' 반도체산업도 성장세 꺾일 것 ', ' 마켓인사이트  한국철강 지분 5 03  매입 英 헤르메스  반등에  베팅 ', ' 다산 칼럼  갈등 해결  조정을 활성화해야']",43257
16,2018-11-23,42400,2018.11.22,"['中·日 도전에도 삼성·LG 글로벌 TV시장  장악 ', 'LG전자  서비스 협력법인 3900명 직접 고용 나선다', '삼성 갤S10에 카메라 6개 달린다', '기술혁신상에 한국전력기술·웨어밸리', '삼성·에릭슨·노키아·화웨이까지 5G장비 전파인증 완료', ' 기자24시  주어가 바뀐 文대통령의 상황인식', '김창용 NIPA 원장  블록체인·AI 키워 성장동력 찾겠다 ', '김용범 증선위원장  삼바 상폐 심사  최대한 빨리 ', ' 차장칼럼  박용진 의원  면책특권 뒤에 숨지 말아야', ' 기업 포커스  삼성전자 TV 판매 49분기 연속 세계 1위', 'LG전자  서비스센터 3900명  직접 고용  협력사 직원을 본사 정규직으로', ' 삼성 봐주기 논란 에 엄벌로 돌아선 증선위 檢  내년초 대대적 수사 별러', 'LG  美시장 수성  테네시 세탁기 신공장  블프  맞춰 생산 앞당긴다', '가상화폐거래소 먹통  쿠팡·넥슨도 스톱 디지털세상  지옥 을 맛보다', '경영 평가에 주가 반영하는 SK그룹 CEO들 올해 성적은', ' 편집국에서  기업에 청구서만 날리는 정부', '회사마다 핵심 인재의 기준이 다르다']",43175
17,2018-11-26,42600,2018.11.25,"['삼성바이오 거래재개 여부 이르면 이달말 윤곽 나와', '레이저 의료기 확산 채혈·탈모치료까지', '英 런던 중심가에 삼성 모바일 기기 체험장 확장 오픈', '디스플레이·단말기  양날개    삼성·LG  폴더블폰 이끈다', 'LG U  5G 가상화 플랫폼 연동규격 공개', ' 이주의 재판 일정   어금니아빠’ 이영학 상고심 선고 外', ' 삼바 후폭풍   특검서 삼성 맡았던 수사라인 똑같은 사건 결론을 뒤집겠나 ', '삼성전자 모바일 기기  런던 체험 스토어  확장', '불티나는  블프  美 유통·韓 의류·가전주  들썩 ', '연중 최저가 찍은 포스코  시가총액 7위로  뚝 ', '김보규 라디언스 대표  혁신 열선기술로 꿀잠 자는 온열매트 개발 ', ' 멀티카메라·폴더블폰·5G·2차전지 등  4차 산업혁명  관련 혁신기술株에 기회 ', 'LG유플러스  中企에 5G 통합관리 플랫폼 공개']",43120
18,2018-11-27,43050,2018.11.26,"['삼성·LG  의료용영상기기 글로벌시장 공략', '한화 35 하락·현대車 29 하락 10대그룹 시총 195조 증발', '반도체업황 흐린데 美캐피털  하이닉스 매집 왜 ', '자율주행차용 3차원 지도 만드는 맵퍼스', '삼성  AI’ LG  고화질’로 의료기기 시장 공략', 'NHN벅스  삼성 손잡고 AI 음악서비스', '10대 그룹 중 현대중공업만 시총 늘었다', '배터리 걱정 그만  필수품으로 떠오른 무선충전기', ' 부고  신혜자씨 外', '삼성·LG전자  글로벌 의료 영상기기 시장 공략', '삼성·현대차  승진 잔치는 없다  기업들  전열 재정비로 글로벌 경기 위축 대응', ' GPS 패권  야심 드러낸 中 위성 40기 쏘아올린다', '클라우드의 함정 아마존 멈추자 쇼핑몰 등  먹통 ']",43114
19,2018-11-28,43150,2018.11.27,"['그래도 5G 시대는 열린다', ' 사설  한국 산업 기둥이 흔들린다', '삼성전자  16㎏ 용량 그랑데 건조기 선봬', '삼성  노조 와해 공작’ 혐의 부인   “그린화 전략 서비스 질 향상 목적”', '삼성 금융계열사 CEO 모두 유임', ' 시간·비용 아끼자  중재로 분쟁 푸는 기업들', ' 기업 포커스  삼성  16㎏ 대용량 건조기 신모델 출시', ' 특파원 칼럼  한국과는 다른 中 선전의 청년 지원정책', ' 전문가 포럼  인공지능이 제조업 살린다']",43117
20,2018-11-29,43150,2018.11.28,"['삼성전자 내주 인사  3인 대표  유지될듯', '삼성전자  고용량 4TB SSD 출시', '삼성전자·사회복지공동모금회  비영리단체 65곳에 100억 지원', ' 단독  朴  국정농단  상고심 언제  내년 4월까지 판결 불투명', '삼바  회계처리 정당했다  분식회계 취소 행정소송', '쌍끌이에 힘받는 4분기 실적株', '삼성  업계 첫 4비트 SSD 출시', ' 책을 읽읍시다  새로운 삶에 도전할 용기가 필요하다면', '삼성전자  반값 SSD  내놨다', '삼성  비영리단체에 100억 지원']",43120
21,2018-11-30,41850,2018.11.29,"['삼성 엣지패널 핵심기술 中에 넘어갔나', '메모리반도체 내년  역성장 공포 ', '반도체 내리막에 스마트폰까지 꺾여 불안한 삼성', '고발·압수수색  사면초가  삼성', ' 독도 해운대 송도  20배 빠른 5G 전국망 시대 열린다', '中  유니콘 타고 진격 한국 IoT·바이오 5년내 추월 당할판', ' 내마음을 훔친 갤럭시 노트9  알파인 화이트’', '생보사 3분기 누적 보험영업손실 17兆', ' 삼바 후폭풍  삼바 고의 분식회계 여부  檢  내년 상반기 이후 나올 듯 ', '윤석헌  금융시스템 근간은 신뢰   금융감독에 혁신 기술 접목해야 ', ' 단독  삼성전자 임원 10  줄인다', '국가 핵심기술  엣지 디스플레이  통째 넘어가  中과 격차 더 좁혀져 ', '삼성 OLED 핵심기술 중국 BOE에 통째 유출', '반도체 투톱 빼면 투자지출 7 5  줄었다', '통신 3社  내달 1일부터  5G 시대  연다', 'SKT  12위→6위  껑충  포스코는  하락 ', '대기업도 재고 쌓여간다 환차손·인건비까지  3중 한파 에 몸살', ' 취재수첩   30년전 파업 악몽  걱정하는 LG전자']",42999
22,2018-12-03,43250,2018.12.02,"['삼성전자 금주 인사 반도체 위기론 반영', '미성년 주주 3만명 삼성 LG전자 최다', '이웃에 손 내민 삼성 계열사들  500억 기부 ', '네덜란드 공군 6000명 갤럭시 쓴다', '원금 부분보장·15  수익률 종목형 ELS의 변신', '삼성·LG전자  올 투자 목표 70  집행', '삼성  이웃사랑 성금 500억 기탁한다', 'LG 스마트폰 다품종 전략 깰까', '다산기술상 大賞 삼성전자 정원철 반도체硏 수석연구원', '삼성 갤럭시 8년 연속 대한민국 100대 브랜드 1위', '삼성그룹 계열사 이웃돕기 성금 500억 20년간 5700억원 기탁', '숨죽인 재계의  별 들 이번주 임원인사 슈퍼위크', ' 기업 포커스   영사기 없이 3D 영화  삼성  LED 스크린 공개', '통신 3社  세계 첫 5G 쐈지만 비즈니스 모델은  오리무중 ', '현대건설기계  인도서 1兆 매출 노린다']",43023
23,2018-12-04,42150,2018.12.03,"['D램값 하락·수요 둔화 삼성 반도체 실적 꺾인다', 'GM 자율차  올인 하는데 속도 못내는 한국', '예금금리 2배 수익 눈길끄는  한화3우B ', '삼성전자 직원수  신기록 달성’ 눈앞', '檢 사법농단 올인에  특수부 품귀 ', '셀트리온  삼성바이오로직스를 넘어섰다', ' 우리는 한 팀  더 멀리 퍼지는 상생 경영 씨앗', '내년 스마트폰 스크린 주인공  노치 보다  피어싱 을 주목하라', '김정은  서울 답방 성사되면 남산 야경 보고  한라산도 등정 ', '대형화·무선·렌털  확 바뀐 가전시장 트렌드 TV 10인치 커지고  新4종세트  판매  껑충 ', ' 천자 칼럼  부시 가문과 한국 재계', '美·中  통상 休戰  낭보 코스피  이달 2200 고지 넘본다', '한국엔 없는  그랩 배송  앞세워 베트남 공략나선 롯데', '설정액 3000억 이상  스타 주식형 펀드  올 성적은 KB중소형주·한투삼성그룹  선전 ']",42940
24,2018-12-05,41450,2018.12.04,"['삼성전자  메모리 둔화 파운드리로 넘는다', '삼성전자 2028년까지 올림픽 함께 뛴다', '올 중간·분기배당 80 는 삼성전자', '삼성전자 이르면 5일 인사 대표이사 3인은 유임될 듯', ' 단독  62억 현찰로 이건희 옆집 산 청년갑부', ' 폴더블폰 특화  5년내 매출 2배로 ', '막오른 5G시대 통신장비株  귀한 몸 ', '디알젬 지분 취득한 삼성전자  인수  투자 ', '삼성  올림픽 후원 2028년까지 연장', '檢  압수수색 정당  vs  삼성  위법 증거 ', '코스피 종목 올해 배당 9조 돌파', '韓  반도체 초격차 위해 354억弗 썼다', ' 스마트폰·전기차 부품 매출 6000억 목표 ', '입주 급한불 끈 헬리오시티  남은 변수는  조합장 해임 ', '삼성전자  올림픽 후원 2028년까지 연장', '삼성전자가 끌어올린 중간·분기 배당 올해 9조원  훌쩍 ', '정은승 삼성전자 사장  5G 시대  반도체 파운드리 기술진화 중요 ', ' 마켓인사이트  디케이티  폴더블폰 부품이 성장 이끌 것 ', '반도체 장비업체 에스티아이  용인에 제2공장', ' 극자외선 7나노 공정  세계 첫 개발 반도체 기술 한단계 높여', '실사구시 정신 계승 신기술로 국가발전 기여']",42798
