,Date,Close,기사날짜,기사제목,EMA
0,2018-11-01,42150,2018.10.31,"['삼성전자 올 32조 투자 반도체만 25조', '삼성  4분기부터 반도체경기 둔화 ', '베트남 간 JY 스마트폰 1위 수성전략 구상', '수요 둔화에 中추격 거세  반도체값 내년 중반에나 반등 ', ' 셀코리아  외국인  네이버는 샀다', ' 삼성 3분기 영업익 17조 돌파  D램 무한질주   삼성전자  반도체 100원 팔아 55원 남겼다', ' 삼성 3분기 영업익 17조 돌파  갤노트9 높은 원가 부담에  IM부문 실적 주춤', '롯데하이마트  김장용 가전 최대 30  할인', ' 차장 칼럼  냉면 도발  묵과할 일 아니다', '에너지산업 새 비전 찾는다', ' 증시 폭락은 한국경제 모순 반영된 것 ', 'D램값 급락에 4분기  비상   영업이익 17兆 에도 웃지 못한 삼성전자', '삼성도 현대車도  내년 사업계획 백지 ', '간판기업들 어닝쇼크 잇따라  내년이 더 두려워 ', '視界 제로   기업들  내년 투자·채용은커녕 매출 예상도 어렵다 ', '2년4개월 만에 고정거래價 미끄럼 D램 가격 10 7  급락', '글로벌 메모리 반도체 수요 내년 1분기까지  주춤 ', '엇갈린 환율 효과 반도체  웃고  스마트폰·TV  울고 ', '116개 협력사 매출 늘린 현대다이모스 산업훈장', '문인숙 디자인팀장  아날로그 감성 마케팅 통했죠 ', '반갑다  외국인 10일 만에 코스피 순매수', '린데코리아 매각 예비입찰 SK·에어리퀴드 등 10여곳 도전']",42150
1,2018-11-02,44150,2018.11.01,"[' 따뜻한 나눔  되새긴 삼성 임직원', '삼성반도체 백혈병 중재안  질병 피해자 모두에 보상 ', ' 단독  상장사 31  어닝쇼크', '상장사 이익 18  늘었지만 반도체 빼면 증가율 고작 2 ', ' 1000억 벤처  등극 작년 69社 최대', '與  냉면 발언은 농담조  野  재계총수 입에 재갈 ', ' 빈손으로 왔습니까  리선권 발언논란 확산', ' 사설  트럼프는 결국 중국 반도체를 정조준했다', '삼성전자 창립 49주년  창업 정신 되새긴 봉사활동', '삼성 백혈병 11년만에 종지부 조정위  질병 피해 전원 보상 ', ' 5G 스마트폰  최초 타이틀 누가 거머쥘까', ' WeeKend 라이프   김장준비  알뜰하게 하세요 ', '대북사업 美대사관에 보고하라    美정부 요청에 기업들 당혹', ' WeeKend 라이프  가을이 오고 낙엽이 떨어지면  쇼핑 축제가 시작된다', '삼성전자  반도체 백혈병  해법 찾았다', '삼성  4차 산업혁명시대  일하는 방식  바꾼다', '세계 최초 폴더블 스마트폰 中 로욜이 개발', '업황 꺾여도 반도체株 낙관론 현금만 수십조  주주환원책 기대', ' 문재인 대통령 국회 시정연설 경제위기 의식 안보인다 ', ' 사설  산업과 시장 현실 눈감은  주술경제 로 가는 건가']",42340
2,2018-11-05,43800,2018.11.04,"['삼성 사회공헌 단편영화  별리섬  조회수 3천만 돌파', '반기문 이사장  G2 갈등  韓 중심 亞리더 결집할 좋은기회 ', '1조 공매도 압박 뚫고 삼성전기 14 상승', '삼성 교육영화  별리섬’ 조회수 3000만 돌파', '에버랜드는 지금  IT 테마파크’로 진화중', ' 정부 경제전망 신뢰성 논란   한국경제  겨울이 오고 있다   내년 계획 못잡는 기업들', '인터넷진흥원  IoT 보안인증제  활성화 나서', '무선에 밀린 유선이어폰   국내 점유율 절반이하로', ' 인터뷰  강성지 웰트 대표  100년 전통의 프랑스 명품 브랜드와 스마트벨트 출시 ', '실적 좋고 시장 선도할 종목  지금이 싸게 살 수 있는 기회 삼성전자 매수 고려할 만', '3D 낸드  SK하이닉스  96단 4D 낸드 로 간다', '삼성이 만든 단편영화  별리섬  SNS서 화제', '애플  스마트워치 시장 점유율하락', ' 코스피 싸다  싸  IT·화학株  보텀 피싱 ', '경영권 위협 거센데  물려받은 주식가치의 65 를 상속세로 내라니 ', '檢  적폐수사 마침표  사법농단 에만 집중한다', '삼성전기·삼성SDI 4분기 실적도  쾌청   엔터株 JYP  면세점株 호텔신라 반등 기대']",42479
3,2018-11-06,43750,2018.11.05,"['삼성 QLED TV 獨서 호평', ' 삼성 불법파견 은폐  혐의 정현옥·권혁태 영장 기각', '로볼펀드마저 금융주 붕괴에 수익률 뚝', '獨 매체  삼성 QLED 8K TV 최고 ', ' 기아 VIK’ 앱  車구매부터 중고차 판매까지 한번에', ' 반도체 코리아’ D램값 급락에도 무덤덤', ' 반도체社 빼면 투자 21  줄어  쓴소리 쏟아진 한경연 세미나', '애플은 멀찍이 화웨이는 바짝  위기 몰린 국산 스마트폰', '기아차·삼성전자 손잡고  맞춤형 스마트폰앱  선보인다', '獨서 최고 점수 받은  삼성 QLED 8K TV ', ' 김과장  amp; 이대리  롤러코스터 증시에 울고 웃는 직장인들', '북미 3분기 스마트폰 시장 11  감소', ' 일하는 방식 안 바꾸면 미래 없다  스마트워크 속도 내는 기업들', ' 사설   사회적 책임  결단한 삼성 노조가  시대적 책임  답할 차례다']",42600
4,2018-11-07,44000,2018.11.06,"['재계  현 성과공유제로 충분 동참 안하면 미운털 박힐판 ', '대한항공 클라우드 도입 스마트한 비행', 'CJ CGV베트남 코스피상장  없던 일로 ', ' 뉴스 amp;분석  협력이익공유제 강행 재계  反시장 ', ' 매경이 만난 사람  IT구루 진대제 스카이레이크인베스트먼트 회장', '삼성  상업용 세탁기·건조기 만든다', '韓 초격차·美견제에 中 반도체 굴기 타격', '11월은 쇼핑의 계절   한국판 블프  떴다', ' fn사설   신약 강국 코리아’ 길 보여준 유한양행', '삼성전자  상업용 세탁기·건조기 시장 진출', '26만원 삼성 자급제폰  갤럭시J4   12일 출시', '檢  삼성 노조의혹  수사 부실 영장 기각률 80 ', ' 삼성 불법파견 은폐 의혹  정현옥 前차관 영장기각', '사티아 나델라  4년 만에 방한 재계인사 만날까', ' 마켓인사이트  박정병  디알젬  사장  엑스선 촬영장비 70  수출 내년부터 中서도 성과낼 것 ', ' 좋은 인재 일본에 다 뺏기고 있어 교육투자 늘려 성장동력 키워야 ']",42733
5,2018-11-08,44050,2018.11.07,"[' 모든 영역에 인공지능  나델라·이재용 AI공조', ' 분양현장 NOW  병점역 아이파크캐슬', ' 필동정담  13인의 자객 ', ' 기고  권위주의 타파와 자율경영이 기업 최우선 과제', '삼성  실리콘밸리서 혁신기술 논의', 'MS CEO 만난 이재용   AI·5G 협력 강화 합의', '삼성 노조와해 수사 삐걱  구속영장 청구 19건 중 발부는 4건 뿐', '폴더블 OLED 시장 규모   5년후 28조원  고속성장 ', ' 8K TV 시기상조 우려딛고 빠른 성장 ', 'VR·4DX 접목시킨  VR 시네마  연내 오픈', ' 벤츠 차세대 SUV 플랫폼에 LG디스플레이 LCD 탑재 ', '1000대 기업 작년 R amp;D 투자 46兆', ' fn사설  기업 힘들다는데 이익공유제는 또 뭔가', ' QLED TV  OLED와 점유율 격차 커질 것  한종희 삼성전자 사장 자신감', '이재용  나델라 MS CEO 만났다  뉴 삼성  구축 속도 붙나', ' 아이디어를 낸 사람이  리더  혁신하려면 직원들이 뛰게 하라 ', '양향자 국가공무원 인재개발원장  공직사회  퍼스트 펭귄  찾아 賞 주겠다 ', '대기업 이익 中企와 나눠라   기업 해외로 내쫓는 꼴 ']",42859
6,2018-11-09,44300,2018.11.08,"['코스닥 팔아치운 연기금  삼성전자는 열흘째  사자 ', ' 기고  삼성전자서비스 노사가 보여준 희망', '한 화면서 지도·검색·채팅 주머니 속의 데스크톱', '포스코켐 72 ·삼성ENG 33  목표가  껑충', '삼성 폴더블폰 공개 내년 100만대 생산', 'KT  中화웨이 5G 장비 안 쓴다', '접으면 스마트폰 펴면 태블릿 삼성  新성장 날개 달까', '中·애플에 쫓기는 삼성 스마트폰 전략 확 바꾼다', '투자심리도 시들 주가 하락 더 깊다', '경쟁사 추격에 반기업정책  원투펀치  車·정유·포털 이익률  뚝 ', ' 단독  한국 대표기업 수익성  비상 ', '앱개발 플랫폼  빅스비 캡슐  AI생태계 정조준', '린데코리아 적격인수후보 GS에너지 등 5 6곳 선정', ' 사설  대·중소기업 이익공유제 법으로 규제할 사안 아니다', '펼치면 태블릿으로 변신  삼성 폴더블폰 공개', ' 5G 세계 최초 상용화  한발씩 전진하는 이통3사', '4인치에서 7 3인치로  갤럭시F’가 부린 마법', ' Weekend 라이프  뭐든 담는 너를 뭐라 불러줄까', '삼성 폴더블폰 수혜株 드디어 빛 보나', '삼성의  폴더블폰 매직  웹 검색·유튜브·카톡 한 화면서 동시에', '블룸버그  삼성 폴더블폰  스마트폰 주류될 것 ', 'SKT 이어 KT도  5G 장비 공급사  화웨이 배제', '삼성  폴더블폰 이르면 내년 초 출시', '복합타운·역세권  교통 요지  브랜드 대단지', '리니지M 흥행 이어간다 엔씨소프트  모바일 게임 5종 공개', ' 선임기자 칼럼  걱정스런 민주노총  2003 데자뷔 ', '독일어·스페인어까지 알아듣는  빅스비  AI 스피커  갤럭시홈 도 첫 선', ' 취재수첩   역시나  실망으로 끝난 국감', '전병희 싸이토젠 대표  살아있는 암세포 잡아 초기 암까지 분석 다국적제약사서 잇단 러브콜 ', '한글과컴퓨터  오피스 SW 공공기관 점유율 30  M amp;A로 사업 다각화 나섰다']",42996
7,2018-11-12,45200,2018.11.11,"['고동진  폴더블폰 올인 5G  삼성에 큰 기회 ', ' 단독   삼성 김기남·현대차 정진행  농어촌기금에 줄세운 국회', '삼성發 폴더블폰 시대 LG·화웨이·애플 추격나서', '폴더블폰 글로벌전쟁 시작 삼성  내년 상반기중 출시 ', '적자기업도 투자 무늬만 배당펀드 수두룩', '보유지분 30조인데 삼성물산 시총 겨우 20조', '개인 바이오 살때 외국인 반도체 샀다', '삼성바이오 분식의혹 14일 결론', ' 폴더블폰 내년 상반기 출시 ', '스마트폰 1대당 인건비  베트남 0 8달러일때 한국은 5달러', '돌아온 외국인  IT대형주 다시 담는다', '트레이더스  11월 쇼핑 열기 잇는다 ', '정현옥 전 차관 구속 불발에  檢  노동부 관계자 줄소환', '고동진 삼성전자 IM부문 사장  삼성 폴더블폰 내년 상반기 출격 첫 생산량 100만대 이상 ', '삼성전자·SK하이닉스 이익도 내년 상반기엔 줄 듯', '전기전자 업종 대형주부터 샀던 외국인  삼성전자·SK하이닉스 등 주목', '美서 구글·애플보다 사랑받는 삼성', '반도체 빼면 10대그룹 영업익  뒷걸음 ', '상장사 3분기  성적   美·日·中에 크게 뒤져', '美·中 무역분쟁 완화되면 먼저 반등할 종목은 ', '국내외 경기 둔화·신흥국 환율 불안에 韓 간판기업들까지 실적  흔들 ', ' 글로벌 리포트   자율車 기술 최강  이스라엘 주역은 발빠르게 시장 선점한 스타트업', '코오롱인더 폴더블폰 수혜株  6만3000원 목표 등']",43206
8,2018-11-13,44500,2018.11.12,"['1만명 모인  삼성 협력사 채용 박람회 ', 'SK하이닉스  차세대 D램 개발', '삼성 갤S10 내년 2월 출시  5G·LTE 두가지 모델로', '폭풍전야 삼바 하루새 시총 5 4조 증발', 'SKC코오롱PI  폰 이 밀고  카 가 끈다', '박용만  파격적 규제개혁  요청에 성윤모  기업애로 끝장해결  약속', '삼성 협력사 채용에 몰린 인파', ' 현장르포  삼성 협력사 채용 한마당  메이크업부터 면접상담까지 밀착 지원', '재계  한국판  제조 2025’ 만들어달라 ', '고교생부터 40대까지  삼성 협력사 취업하자 ', '삼성바이오  하루 만에 시총 5兆 증발', 'SK하이닉스  2세대 10나노 D램 개발', ' 실적보다 성장성  엔씨소프트에 꽂힌 증권사들', 'LGU  잇따른 파격 행보  만년 3등 벗어나자 ', ' 천자 칼럼   기업 천국  뉴욕']",43329
9,2018-11-14,44100,2018.11.13,"['삼성 세탁기  퀵드라이브   英 올해의 대형가전 선정', '피델리티글로벌테크놀로지펀드  글로벌 유망 IT에 투자 3년 수익률 59 ', ' 충무로에서  日아베·도요타의 일본車 구하기', '삼성  2년 연속 반도체 1위   SK하이닉스 첫  톱3’ 진입', ' fn사설 증선委 결정에 바이오 미래가 달렸다', ' 내년 12월 5G 통신 2차 표준 완성 ', '스마트폰 팔던 화웨이  이젠 TV 넘본다', '삼성  유튜브·넷플릭스와  폴더블폰 생태계  만든다', '베일 벗은 삼성 폴더블폰 2위 추격 따돌릴  효자 시리즈  기대', ' 빅스마일데이  큰손은 30대 女', '이번엔 애플發 악재 국내 IT주  된서리 ', ' 버팀목  반도체마저 D램 수출가격 2년6개월來 최대폭 하락', 'D램·낸드 가격 10월 4 대 추락 수출  최후보루  반도체 무너지나']",43402
