Date,Close,기사날짜,기사제목
2023-11-01,120300,2023.10.31,"['삼성 반도체  SK의  엔비디아 독점’ 깬다 내년 흑자전환 초미 관심', '외인  이달 3조  셀코리아’ 가장 많이 팔아치운 종목은', 'LG무선OLED TV·케이캡정   올해 산업을 이끈 K기술 14선', '에코프로 피하자 나흘새 공모주 6곳  우르르’ 청약 도전', '삼성전자 오늘 3분기 실적 발표    반도체 반등할까', '반도체 적자 줄인 삼성  낸드 감산으로  완전한 부활  노린다  삼성전자 3분기 실적 선방 ', '“검증받은 브랜드”  이천자이 더 리체’ 1순위 31일 청약', 'I am 아직도  6만전자 에요  국민주  삼성전자  반등 언제쯤', '삼성전자 3분기 반도체 적자 3 75조원 1·2분기보다 줄었다', ' 시총 3위였는데  휴지 조각될 판  카카오 개미들  울분 ', '외인 5000억 매도 폭탄 코스피 2300 또 붕괴', ' 스톡옵션보다 좋네  산업계 확산되는  RSU 열풍 ', '코스피  2차전지주 급락에 하락 마감 2300선 무너져', '코스피  개인·기관  사자 에 소폭 상승 코스닥은 약보합', '코스피  외국인  팔자 에 장중 2300선 붕괴 코스닥도 1  가까이 하락', ' 반도체 적자폭 축소   7만전자 에 다가서는 삼성전자', ' 다시 반도체의 시간  삼성전자  HBM공급 2 5배상승 물량공세 ', '반도체 업턴 기다리는 삼성전자  내년도 HBM 공급  업계 최고 역량 ', '코리아 대탈출 공포의 외인  이달만 2 5조 던졌다', ' 2차전지 탓  커지는 코스피 낙폭  2280선 밑으로', '개인  사자  외국인  팔자  국내 증시 혼조세']"
2023-11-02,125300,2023.11.01,"['“외국인·기관 따라서 살 걸ㅠㅠ” 올해 개미 수익률 어느 정도길래', '개미만 또 처참했네 올 투자수익률  22 ', ' 속수무책’ 한국증시에 10월 한 달 사이 외국인  13  개인  16 ', '새내기 워트  상장 5일만에 공모가 두배로 삼성전자 HBM 증설 덕 봤다', 'D램·낸드가격 2년만에 동반 반등  반도체 겨울 끝나나', ' 반도체의 봄  성큼 오나   D램·낸드 고정거래가격 2년만 반등', ' fn마감시황  코스피  가까스로 2300 회복', ' fn오전시황  코스피  상승세 사수', '코스피  기관 매수세에 2300  회복  삼성전자·SK하이닉스  상승 ', 'D램  감산 효과  2년3개월 만에 가격 반등', '코스닥 새내기 워트  상장 닷새 만에 공모가  두 배  훌쩍', '코스피  장중 2300선 등락 삼성전자 2 대  상승 ', ' 속보  코스피  1  이상 오르며 2300선 회복 코스닥 1 4 상승', '반도체 업황 살아날까  대장주  삼성전자·SK하이닉스 강세', 'D램 가격 2년만에 15  상승 반도체 바닥 찍었나', '기관 순매수에 코스피 2300선 회복 2차전지 또 떨어졌다', '기관 사들이자 코스피 2300선 회복  코스닥도 강세']"
2023-11-03,125800,2023.11.02,"[' 특징주  상장 후 한번도 안뺐긴 시총 2위 LG엔솔  하이닉스에 역전당했다', '“서울 집값 실화냐” 주택수요 직주근접  젊은 도시’로 이동', '“빨리 주식앱 다시 깔아 ” 반도체·2차전지 모처럼  급반등’', '미국 금리 1년반 만에  정점’ 찍었지만 파월 “내리는 건 검토 안 해”', ' 마약 루머 에 엔터株 뭇매   반도체는 지루한 횡보  MBN GOLD 증시기상도 ', '4분기 반도체 업황 반등 기대 커지는데 이익 상승으로 주가 모멘텀 차이나 리스크도 완화', '파월의 선물에 코스피 1 대 급등 본격 반등 국면 올까', ' 생큐  파월   코스피·코스닥 모처럼  함박웃음 ', 'SK하이닉스 vs LG엔솔   시총 2·3위 역전됐다', ' 안 오른 종목 찾기 어렵다    코스피 1 8 ·코스닥 4 5  급등  fn마감시황 ', ' 7만전자  회복 SK하이닉스 시총 2위  등극 ', '코스피 장 초반 1 6  상승 SK하이닉스 시총 2위 자리 탈환', ' SK하이닉스  4분기도 이익 개선 가파를 것 목표가상승  상상인', '온건해진  파월의 입  국내 증시  날았다', '코스피  FOMC 안도에 1 8  올라 코스닥은 4 대 급등', ' 금리 인상 마무리  FOMC 2연속 동결에 코스닥 4 대 강세', ' 글로벌 악재에 주가조작까지  다 나왔다  이제는 반등 ', ' 2차전지 주식에 물타도 될까요  테슬라만 바라보는 개미들', '기업 영업이익 기준 통일 지분법 손익 뺀다', '곽노정 사장  SK하이닉스   맞춤형  시그니처 반도체 강화 ', 'SK하이닉스  LG엔솔 꺾고  코스피 시총 2위  재탈환', ' 코스피 지각변동  SK하이닉스  시총 2위 자리 되찾을까', '美비둘기 날갯짓에 반도체·2차전지  쑥  연말 랠리 가능할까 ', '美 비둘기 날개 펴자 외국인 돌아왔다 달아오르는 韓 증시']"
2023-11-06,133000,2023.11.05,"['2년만에 급반등한 반도체 가격 한국 시총순위까지 바꿨다  위클리반도체 ', '우미건설  모든 가구 84㎡   4베이 구조로 채광·통풍  굿 ', '눈높이 낮춘 증권가  반도체로 수익 내고 은행株로 방어 ', '대법·헌재 수장  초유의 동시공백  초읽기', '고금리·수요 부진에 전쟁까지  꼭 필요한 설비·R amp;D만 투자할 것 ']"
2023-11-07,130400,2023.11.06,"['좋다 말았네  공매도 전면 금지’에 시총 2위서 멀어진 SK하이닉스', '월가 “디램 반도체 반등 이미 시작” ··· 이 주식 사라는데', '“오랜만에 돈 번 기분” 공매도 금지 첫날 코스피 2500 뚫었다', ' 지속가능 하수처리 모델’ 부강테크  글로벌 ESG도  최우수’', '연말 관심 가져볼 배당주 포트폴리오 변동성 높은 올해 기업실적 꼭 챙겨야', '“직주근접 입지” 청주 가경 아이파크 6단지 공급', 'NH Amundi운용  HANARO K 반도체 ETF  순자산 1000억 돌파', ' 메모리 선행지표’ D램 현물가 반등', ' fn오전시황  공매도 금지 첫날  코스피 단숨에 2400선 회복', '日 의존도 줄인 한국 기업들  숨은 비결  알고 보니', ' 공매도 금지  첫날 코스피 5 6  급등 2500선  회복 ', '공매도 금지 첫날  코스피 134P 급등', '역대 최대 급등한 코스피  다시 펀더멘털에 주목 ', '공매도 몰렸던  이 종목들  날았다 코스피 단숨에 2400선 회복', ' HANARO Fn K 반도체  ETF  순자산 1000억원 돌파', ' 공매도 한시 금지 에 훈풍 코스피 단숨에 2500선으로']"
2023-11-08,127600,2023.11.07,"['공매도 금지 첫날 외국인 순매수 최다는 SK하이닉스·LG엔솔', '4대그룹 ETF 반도체에 웃고  배터리에 울고', '“최종현 선대회장의 혜안이 신약 제조·판매 회사 키워내”', '이노션 영업이익 전년비 12 5  증가   경기 둔화에도 호실적', ' fn마감시황  일장춘몽인가    코스피  하루 만에 2500선 반납', ' fn오후시황  국내 증시  2 대 급락    공매도 금지 일일천하', ' fn오전시황  국내 증시  공매도 금지 이튿날 동반 약세    외인·기관  팔자’', '2차전지 판 외국인  AI반도체株는  폭풍매수 ', '2차전지 팔아치운 외국인  여기 로 우르르 몰렸다', ' 공매도 금지 이틀째  증시 급랭 코스닥 매도 사이드카 발동', '급락·급등 어질어질  크게 출렁이는 증시  대형주·배당주가 멀미 덜해 ', '하루만에 싸늘 공매도 금지로 널뛰는 증시', ' 마켓칼럼   공매도 금지로 어려워진 종목 선택 업황 개선 반도체 주목해야 ', '성과급 앞두고  갈빗집 vs 쌀밥집  직원들  경쟁사 실적이 더 궁금 ', '삼성·LG 이어 SK 만난 민주당 의원들  성장산업 공매도 금지 검토 ']"
2023-11-09,128000,2023.11.08,"['메모리 반도체 가격이 뛴다 삼성·SK  흑자의 시간’ 어디까지 왔나', '“이대로 중국이랑 붙으면 진다” 전기료 폭탄 맞은 기업들  한숨’', ' 이미 한계상황 왔는데   전기료 폭탄맞은 기업들', '민심 눈치에 대기업 전기료만 올려   적자 한전  언 발 오줌누기 ', '위기의 韓석유화학    사업고도화  밀어붙인 日JSR서 배워야  Science in Biz ', '서강대학교  전공 경계 허물어   융합 교육 선도', ' fn마감시황   공매도 금지  셋째날  개인·외인 매도에 코스피 연이틀 하락', ' fn오후시황  외인  팔자  지속   코스피  2420선 등락', ' 中에 삼성 반도체  복제공장  생길 뻔  대통령실 직접 나섰다', '충북  반도체 생태계 육성  퀀텀점프', '하루 만에 순매도로 돌아선 외국인 이건 5000억 담았다', '코스피  외인·개인 동반 매도에  하락  에코프로 14 하락', '코스피  기관 순매수에 상승 출발 코스닥도 0 3 상승', '기관  사자  2460선 회복한 코스피 코스닥도 반등']"
2023-11-10,130500,2023.11.09,"['문화예술후원 장관상에 신세계·메세나협회', '신한운용 “AI·HBM 확산에 반도체 소부장 ETF 선전”', '정병국 문예위원장 “문화예술 없는 선진국은 없다”', '“이빨빠진 호랑이 같은데” 중국 반도체  美제재 어디까지 뚫을까', '신약 기술이전 소식에  바이오 빅딜  기대 쑥  MBN GOLD 증시기상도 ', ' 메가 서울 추진하면 제로섬  지방 메가시티 기폭제 될 것 ', '“메가서울  오히려 좋아” 지방에서 더 환영하는 이유 있다는데', '반도체 시장 대세 된 AI    비메모리주로 쏠리는 투심', '반도체 회복 이제는 낙수효과   실적 모멘텀 확산', '공매도 금지인데  포홀·엘앤에프 는 공매도 늘었다   개미들  불만 ', ' 공매도 금지  비켜간 종목 있었다    포스코홀딩스·엘앤에프 되레 증가', ' HBM 주도권 쥘 것  SK하이닉스  투자 50  확대  초강수 베팅 ', 'SK하이닉스 투자 내년 10조  승부수 ', '美도 韓도  테크 ETF 가 시장 이겼다', '코스피  외국인·기관  사자 에 상승 마감 2차전지 하락에 코스닥하락', ' 글로벌 최저한세 15   내년 시행 법인세 늘어난다', '코스피  외국인·기관  사자 에 상승 코스닥은  시들 ', '코스피  외국인  팔자 에 장 초반 약보합세 코스닥은 하락', '스마트폰·그래픽카드 등 대테크의 시대 주식시장서도 테크ETF가 시장지수 이겼다', 'SOL 반도체소부장Fn  ETF  최근 한달 코스피 상승률 상회', '외국인  팔자  개미들  줍줍  코스피·코스닥 혼조세']"
2023-11-13,131800,2023.11.12,"['“이러니 닥치고 대기업이지” 적자 나도 성과급 주는 곳은  방영덕의 디테일 ', '韓 반도체인재 수준 세계적 경기도에 R amp;D센터 만들 것', '“영어가 막 튀어나와” 세상 바꿀 괴물폰 나오자 제2의 엔비디아 된 이 기업  위클리반도체 ', ' 반도체만 보고 간다    외인  반도체株 집중 매수', 'SK 中법인  불황 여파에 반도체 현지 투자액 미공개', ' 반도체 불황 탓     SK 中법인  불황 여파에 반도체 현지 투자액 미공개', ' 반도체 불황 끝 보인다  외국인 집중 매수', '공매도 금지 외국인  반도체 사고 배터리 팔았다', '中YMTC  美마이크론에 특허 소송', ' 다산칼럼  우리나라 산업의  리빌딩 이 시급하다', '문화예술 후원해 온 신세계·메세나협회 문체부 장관상 수상', '공매도 금지 전으로 제자리  이젠 실적에 주목  반도체 담아라 ']"
2023-11-14,130000,2023.11.13,"['SK하이닉스  속도 끝판왕  모바일D램 공급', '반도체 봄날 오나   ETF 수익률도  반짝 ', 'FHD급 영화 15편 1초에 처리 삼성보다 먼저  이 회사가  초고속 모바일 D램’ 첫 상용화', ' HBM 잭팟’ 한미반도체  창사 최대규모 배당', '어닝 쇼크 파두  4분기 실적도  희망고문’ ', '래블업  SC23에서 초거대 AI 서비스 소개', ' 풀HD 영화 15편을 1초에  SK하이닉스  中  비보 에 현존 최고속 모바일 D램 공급', 'SK하이닉스  세계 최고속  LPDDR5T’ D램 상용화  中 비보에 공급', '반도체 불확실성 걷혔나   삼성·SK 3분기 美 로비액 지난해比 감소', '반도체 불확실성 걷혔나  삼성·SK 美 로비액 감소', '코오롱글로벌  비주택 신규 수주  고속성장’', '코오롱글로벌  비주택’ 수주 전략  해외 경쟁력 높여', ' fn마감시황  코스피  개인·외인  팔자’에 소폭 하락   2403선', ' HBM 수요 폭증  한미반도체  창사 이래 최대 배당', ' fn오전시황  코스피  2412선에서 강보합   코스닥은 하락', ' TIMEFOLIO 글로벌AI인공지능액티브 ETF’ 순자산 1000억 돌파', ' 누가 2위   SK하이닉스·LG엔솔  시총 경쟁 치열', 'SK하이닉스  세계 최고속  모바일용 D램 1초에 영화 15편 처리', 'SK하이닉스  세계 최고속 D램 첫 상용화  1초에 영화 15편 전송 ', 'LG엔솔 VS SK하이닉스 시총 2위 전쟁', '배터리株 쓸어담은 개미 어쩌나 내년 실적 전망치  뚝뚝 ', ' 동네 식당보다 못 벌면서 상장   파두에 물린 개미들  분노   김익환의 컴퍼니워치 ', '코오롱글로벌   비주택  수주 전략 통했다', '한미반도체 주당 420원 배당 곽동신 부회장  배당성향 높이겠다 ', '2400선 또 간당간당 오락가락 코스피·코스닥 끝내 하락', '코스피  외인·기관  사자  속 2430선 회복 코스닥 5거래일 만에 반등', '영화 15편  1초에 처리 SK하이닉스  세계 최고속  모바일 D램 첫 상용화', 'SK하이닉스 신고가 행진 LG엔솔 시총 2위 각축전', '시총 2위 자리 노리는 SK하이닉스 신고가 경신 랠리', '대표도 210억 영끌  400  올랐던 이곳 어닝쇼크에 주가  뚝 ', '코오롱글로벌   비주택 부문  해외시장 러브콜', ' 공매도 금지  효과 시들  다시 반도체 보라 ', '한미반도체  비관으로 바뀌기엔 이른 시점 목표주가  상향  삼성', '외국인 매도세에 코스피·코스닥 동반 하락  변동성 장세 이어질 것 ', '코스피·코스닥 동반 상승 출발 시총 상위종목 대부분 강세', '타임폴리오  글로벌AI인공지능액티브 ETF 순자산 1000억원 돌파']"
